area_code,area_name,indicator,period,measure,unit,value
E05001039,Arbourthorne,Non-white ethnic group,2011,Percentage,Persons,14.4
E05001040,Beauchief and Greenhill,Non-white ethnic group,2011,Percentage,Persons,6.9
E05001041,Beighton,Non-white ethnic group,2011,Percentage,Persons,4.4
E05001042,Birley,Non-white ethnic group,2011,Percentage,Persons,3.3
E05001043,Broomhill,Non-white ethnic group,2011,Percentage,Persons,14
E05001044,Burngreave,Non-white ethnic group,2011,Percentage,Persons,57.5
E05001045,Central,Non-white ethnic group,2011,Percentage,Persons,40.6
E05001046,Crookes,Non-white ethnic group,2011,Percentage,Persons,9.9
E05001047,Darnall,Non-white ethnic group,2011,Percentage,Persons,44.9
E05001048,Dore and Totley,Non-white ethnic group,2011,Percentage,Persons,5.5
E05001049,East Ecclesfield,Non-white ethnic group,2011,Percentage,Persons,3.1
E05001050,Ecclesall,Non-white ethnic group,2011,Percentage,Persons,8.5
E05001051,Firth Park,Non-white ethnic group,2011,Percentage,Persons,23.6
E05001052,Fulwood,Non-white ethnic group,2011,Percentage,Persons,10.8
E05001053,Gleadless Valley,Non-white ethnic group,2011,Percentage,Persons,15.8
E05001054,Graves Park,Non-white ethnic group,2011,Percentage,Persons,5.9
E05001055,Hillsborough,Non-white ethnic group,2011,Percentage,Persons,5.9
E05001056,Manor Castle,Non-white ethnic group,2011,Percentage,Persons,22.2
E05001057,Mosborough,Non-white ethnic group,2011,Percentage,Persons,3.9
E05001058,Nether Edge,Non-white ethnic group,2011,Percentage,Persons,25
E05001059,Richmond,Non-white ethnic group,2011,Percentage,Persons,6.1
E05001060,Shiregreen and Brightside,Non-white ethnic group,2011,Percentage,Persons,16.4
E05001061,Southey,Non-white ethnic group,2011,Percentage,Persons,6.2
E05001062,Stannington,Non-white ethnic group,2011,Percentage,Persons,3.7
E05001063,Stocksbridge and Upper Don,Non-white ethnic group,2011,Percentage,Persons,1.9
E05001064,Walkley,Non-white ethnic group,2011,Percentage,Persons,26
E05001065,West Ecclesfield,Non-white ethnic group,2011,Percentage,Persons,2.9
E05001066,Woodhouse,Non-white ethnic group,2011,Percentage,Persons,6.3
