area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Median age,2017-06-30,Median,Persons,40
E05010858,Beighton,Median age,2017-06-30,Median,Persons,44
E05010859,Birley,Median age,2017-06-30,Median,Persons,43
E05010860,Broomhill and Sharrow Vale,Median age,2017-06-30,Median,Persons,22
E05010861,Burngreave,Median age,2017-06-30,Median,Persons,28
E05010862,City,Median age,2017-06-30,Median,Persons,22
E05010863,Crookes and Crosspool,Median age,2017-06-30,Median,Persons,31
E05010864,Darnall,Median age,2017-06-30,Median,Persons,30
E05010865,Dore and Totley,Median age,2017-06-30,Median,Persons,48
E05010866,East Ecclesfield,Median age,2017-06-30,Median,Persons,45
E05010867,Ecclesall,Median age,2017-06-30,Median,Persons,41
E05010868,Firth Park,Median age,2017-06-30,Median,Persons,33
E05010869,Fulwood,Median age,2017-06-30,Median,Persons,30
E05010870,Gleadless Valley,Median age,2017-06-30,Median,Persons,35
E05010871,Graves Park,Median age,2017-06-30,Median,Persons,42
E05010872,Hillsborough,Median age,2017-06-30,Median,Persons,37
E05010873,Manor Castle,Median age,2017-06-30,Median,Persons,30
E05010874,Mosborough,Median age,2017-06-30,Median,Persons,43
E05010875,Nether Edge and Sharrow,Median age,2017-06-30,Median,Persons,30
E05010876,Park and Arbourthorne,Median age,2017-06-30,Median,Persons,36
E05010877,Richmond,Median age,2017-06-30,Median,Persons,42
E05010878,Shiregreen and Brightside,Median age,2017-06-30,Median,Persons,34
E05010879,Southey,Median age,2017-06-30,Median,Persons,36
E05010880,Stannington,Median age,2017-06-30,Median,Persons,45
E05010881,Stocksbridge and Upper Don,Median age,2017-06-30,Median,Persons,44
E05010882,Walkley,Median age,2017-06-30,Median,Persons,26
E05010883,West Ecclesfield,Median age,2017-06-30,Median,Persons,46
E05010884,Woodhouse,Median age,2017-06-30,Median,Persons,42
