area_code,area_name,indicator,period,measure,unit,value
E05001039,Arbourthorne,No people in household have English as a main language,2011,Percentage,Households,3.2
E05001040,Beauchief and Greenhill,No people in household have English as a main language,2011,Percentage,Households,1.9
E05001041,Beighton,No people in household have English as a main language,2011,Percentage,Households,0.7
E05001042,Birley,No people in household have English as a main language,2011,Percentage,Households,0.7
E05001043,Broomhill,No people in household have English as a main language,2011,Percentage,Households,4.9
E05001044,Burngreave,No people in household have English as a main language,2011,Percentage,Households,15
E05001045,Central,No people in household have English as a main language,2011,Percentage,Households,18.6
E05001046,Crookes,No people in household have English as a main language,2011,Percentage,Households,2.1
E05001047,Darnall,No people in household have English as a main language,2011,Percentage,Households,10.6
E05001048,Dore and Totley,No people in household have English as a main language,2011,Percentage,Households,0.6
E05001049,East Ecclesfield,No people in household have English as a main language,2011,Percentage,Households,0.6
E05001050,Ecclesall,No people in household have English as a main language,2011,Percentage,Households,1
E05001051,Firth Park,No people in household have English as a main language,2011,Percentage,Households,3.4
E05001052,Fulwood,No people in household have English as a main language,2011,Percentage,Households,2.2
E05001053,Gleadless Valley,No people in household have English as a main language,2011,Percentage,Households,3.7
E05001054,Graves Park,No people in household have English as a main language,2011,Percentage,Households,1.2
E05001055,Hillsborough,No people in household have English as a main language,2011,Percentage,Households,1.3
E05001056,Manor Castle,No people in household have English as a main language,2011,Percentage,Households,5.7
E05001057,Mosborough,No people in household have English as a main language,2011,Percentage,Households,1
E05001058,Nether Edge,No people in household have English as a main language,2011,Percentage,Households,4
E05001059,Richmond,No people in household have English as a main language,2011,Percentage,Households,1
E05001060,Shiregreen and Brightside,No people in household have English as a main language,2011,Percentage,Households,2.9
E05001061,Southey,No people in household have English as a main language,2011,Percentage,Households,1.1
E05001062,Stannington,No people in household have English as a main language,2011,Percentage,Households,0.8
E05001063,Stocksbridge and Upper Don,No people in household have English as a main language,2011,Percentage,Households,0.4
E05001064,Walkley,No people in household have English as a main language,2011,Percentage,Households,8.1
E05001065,West Ecclesfield,No people in household have English as a main language,2011,Percentage,Households,0.4
E05001066,Woodhouse,No people in household have English as a main language,2011,Percentage,Households,0.8
