area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Old-age dependency ratio,2017-06-30,Ratio,Persons,33.5
E05010858,Beighton,Old-age dependency ratio,2017-06-30,Ratio,Persons,30.2
E05010859,Birley,Old-age dependency ratio,2017-06-30,Ratio,Persons,34.8
E05010860,Broomhill and Sharrow Vale,Old-age dependency ratio,2017-06-30,Ratio,Persons,8.8
E05010861,Burngreave,Old-age dependency ratio,2017-06-30,Ratio,Persons,17.6
E05010862,City,Old-age dependency ratio,2017-06-30,Ratio,Persons,1.4
E05010863,Crookes and Crosspool,Old-age dependency ratio,2017-06-30,Ratio,Persons,22.2
E05010864,Darnall,Old-age dependency ratio,2017-06-30,Ratio,Persons,20.1
E05010865,Dore and Totley,Old-age dependency ratio,2017-06-30,Ratio,Persons,49.5
E05010866,East Ecclesfield,Old-age dependency ratio,2017-06-30,Ratio,Persons,38
E05010867,Ecclesall,Old-age dependency ratio,2017-06-30,Ratio,Persons,32.6
E05010868,Firth Park,Old-age dependency ratio,2017-06-30,Ratio,Persons,23.2
E05010869,Fulwood,Old-age dependency ratio,2017-06-30,Ratio,Persons,24.2
E05010870,Gleadless Valley,Old-age dependency ratio,2017-06-30,Ratio,Persons,20.9
E05010871,Graves Park,Old-age dependency ratio,2017-06-30,Ratio,Persons,31.6
E05010872,Hillsborough,Old-age dependency ratio,2017-06-30,Ratio,Persons,23.2
E05010873,Manor Castle,Old-age dependency ratio,2017-06-30,Ratio,Persons,17.6
E05010874,Mosborough,Old-age dependency ratio,2017-06-30,Ratio,Persons,33
E05010875,Nether Edge and Sharrow,Old-age dependency ratio,2017-06-30,Ratio,Persons,14.6
E05010876,Park and Arbourthorne,Old-age dependency ratio,2017-06-30,Ratio,Persons,27.7
E05010877,Richmond,Old-age dependency ratio,2017-06-30,Ratio,Persons,33.3
E05010878,Shiregreen and Brightside,Old-age dependency ratio,2017-06-30,Ratio,Persons,22.6
E05010879,Southey,Old-age dependency ratio,2017-06-30,Ratio,Persons,27.3
E05010880,Stannington,Old-age dependency ratio,2017-06-30,Ratio,Persons,39.4
E05010881,Stocksbridge and Upper Don,Old-age dependency ratio,2017-06-30,Ratio,Persons,36.8
E05010882,Walkley,Old-age dependency ratio,2017-06-30,Ratio,Persons,13.6
E05010883,West Ecclesfield,Old-age dependency ratio,2017-06-30,Ratio,Persons,41.4
E05010884,Woodhouse,Old-age dependency ratio,2017-06-30,Ratio,Persons,33
