area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Population aged 16-64 years,2017-06-30,Percentage,Persons,59.8
E05010858,Beighton,Population aged 16-64 years,2017-06-30,Percentage,Persons,64
E05010859,Birley,Population aged 16-64 years,2017-06-30,Percentage,Persons,61.6
E05010860,Broomhill and Sharrow Vale,Population aged 16-64 years,2017-06-30,Percentage,Persons,83.2
E05010861,Burngreave,Population aged 16-64 years,2017-06-30,Percentage,Persons,59
E05010862,City,Population aged 16-64 years,2017-06-30,Percentage,Persons,94.6
E05010863,Crookes and Crosspool,Population aged 16-64 years,2017-06-30,Percentage,Persons,70.4
E05010864,Darnall,Population aged 16-64 years,2017-06-30,Percentage,Persons,61.1
E05010865,Dore and Totley,Population aged 16-64 years,2017-06-30,Percentage,Persons,55
E05010866,East Ecclesfield,Population aged 16-64 years,2017-06-30,Percentage,Persons,60.9
E05010867,Ecclesall,Population aged 16-64 years,2017-06-30,Percentage,Persons,59.5
E05010868,Firth Park,Population aged 16-64 years,2017-06-30,Percentage,Persons,60.7
E05010869,Fulwood,Population aged 16-64 years,2017-06-30,Percentage,Persons,69.9
E05010870,Gleadless Valley,Population aged 16-64 years,2017-06-30,Percentage,Persons,65.8
E05010871,Graves Park,Population aged 16-64 years,2017-06-30,Percentage,Persons,63.3
E05010872,Hillsborough,Population aged 16-64 years,2017-06-30,Percentage,Persons,66.5
E05010873,Manor Castle,Population aged 16-64 years,2017-06-30,Percentage,Persons,67.3
E05010874,Mosborough,Population aged 16-64 years,2017-06-30,Percentage,Persons,62.6
E05010875,Nether Edge and Sharrow,Population aged 16-64 years,2017-06-30,Percentage,Persons,71
E05010876,Park and Arbourthorne,Population aged 16-64 years,2017-06-30,Percentage,Persons,63.8
E05010877,Richmond,Population aged 16-64 years,2017-06-30,Percentage,Persons,61.5
E05010878,Shiregreen and Brightside,Population aged 16-64 years,2017-06-30,Percentage,Persons,62.4
E05010879,Southey,Population aged 16-64 years,2017-06-30,Percentage,Persons,61.4
E05010880,Stannington,Population aged 16-64 years,2017-06-30,Percentage,Persons,59.7
E05010881,Stocksbridge and Upper Don,Population aged 16-64 years,2017-06-30,Percentage,Persons,60.5
E05010882,Walkley,Population aged 16-64 years,2017-06-30,Percentage,Persons,77.6
E05010883,West Ecclesfield,Population aged 16-64 years,2017-06-30,Percentage,Persons,59.2
E05010884,Woodhouse,Population aged 16-64 years,2017-06-30,Percentage,Persons,61.7
