area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Population aged 65 or more years,2017-06-30,Percentage,Persons,20
E05010858,Beighton,Population aged 65 or more years,2017-06-30,Percentage,Persons,19.3
E05010859,Birley,Population aged 65 or more years,2017-06-30,Percentage,Persons,21.4
E05010860,Broomhill and Sharrow Vale,Population aged 65 or more years,2017-06-30,Percentage,Persons,7.3
E05010861,Burngreave,Population aged 65 or more years,2017-06-30,Percentage,Persons,10.4
E05010862,City,Population aged 65 or more years,2017-06-30,Percentage,Persons,1.3
E05010863,Crookes and Crosspool,Population aged 65 or more years,2017-06-30,Percentage,Persons,15.6
E05010864,Darnall,Population aged 65 or more years,2017-06-30,Percentage,Persons,12.3
E05010865,Dore and Totley,Population aged 65 or more years,2017-06-30,Percentage,Persons,27.3
E05010866,East Ecclesfield,Population aged 65 or more years,2017-06-30,Percentage,Persons,23.2
E05010867,Ecclesall,Population aged 65 or more years,2017-06-30,Percentage,Persons,19.4
E05010868,Firth Park,Population aged 65 or more years,2017-06-30,Percentage,Persons,14.1
E05010869,Fulwood,Population aged 65 or more years,2017-06-30,Percentage,Persons,16.9
E05010870,Gleadless Valley,Population aged 65 or more years,2017-06-30,Percentage,Persons,13.7
E05010871,Graves Park,Population aged 65 or more years,2017-06-30,Percentage,Persons,20
E05010872,Hillsborough,Population aged 65 or more years,2017-06-30,Percentage,Persons,15.5
E05010873,Manor Castle,Population aged 65 or more years,2017-06-30,Percentage,Persons,11.8
E05010874,Mosborough,Population aged 65 or more years,2017-06-30,Percentage,Persons,20.6
E05010875,Nether Edge and Sharrow,Population aged 65 or more years,2017-06-30,Percentage,Persons,10.4
E05010876,Park and Arbourthorne,Population aged 65 or more years,2017-06-30,Percentage,Persons,17.7
E05010877,Richmond,Population aged 65 or more years,2017-06-30,Percentage,Persons,20.5
E05010878,Shiregreen and Brightside,Population aged 65 or more years,2017-06-30,Percentage,Persons,14.1
E05010879,Southey,Population aged 65 or more years,2017-06-30,Percentage,Persons,16.8
E05010880,Stannington,Population aged 65 or more years,2017-06-30,Percentage,Persons,23.5
E05010881,Stocksbridge and Upper Don,Population aged 65 or more years,2017-06-30,Percentage,Persons,22.2
E05010882,Walkley,Population aged 65 or more years,2017-06-30,Percentage,Persons,10.5
E05010883,West Ecclesfield,Population aged 65 or more years,2017-06-30,Percentage,Persons,24.5
E05010884,Woodhouse,Population aged 65 or more years,2017-06-30,Percentage,Persons,20.4
