area_code,area_name,indicator,period,measure,unit,value
E05001039,Arbourthorne,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001040,Beauchief and Greenhill,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001041,Beighton,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001042,Birley,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001043,Broomhill,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001044,Burngreave,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001045,Central,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001046,Crookes,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001047,Darnall,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001048,Dore and Totley,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001049,East Ecclesfield,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001050,Ecclesall,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001051,Firth Park,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001052,Fulwood,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001053,Gleadless Valley,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001054,Graves Park,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001055,Hillsborough,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001056,Manor Castle,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001057,Mosborough,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001058,Nether Edge,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001059,Richmond,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001060,Shiregreen and Brightside,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001061,Southey,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001062,Stannington,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001063,Stocksbridge and Upper Don,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001064,Walkley,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001065,West Ecclesfield,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
E05001066,Woodhouse,Population change (2007 to 2017),2017-06-30,Percentage,Persons,NA
