area_code,area_name,indicator,period,measure,unit,value
E05010857,Beauchief and Greenhill,Population density per km sq,2017-06-30,Density,Persons,NA
E05010858,Beighton,Population density per km sq,2017-06-30,Density,Persons,NA
E05010859,Birley,Population density per km sq,2017-06-30,Density,Persons,NA
E05010860,Broomhill and Sharrow Vale,Population density per km sq,2017-06-30,Density,Persons,NA
E05010861,Burngreave,Population density per km sq,2017-06-30,Density,Persons,NA
E05010862,City,Population density per km sq,2017-06-30,Density,Persons,NA
E05010863,Crookes and Crosspool,Population density per km sq,2017-06-30,Density,Persons,NA
E05010864,Darnall,Population density per km sq,2017-06-30,Density,Persons,NA
E05010865,Dore and Totley,Population density per km sq,2017-06-30,Density,Persons,NA
E05010866,East Ecclesfield,Population density per km sq,2017-06-30,Density,Persons,NA
E05010867,Ecclesall,Population density per km sq,2017-06-30,Density,Persons,NA
E05010868,Firth Park,Population density per km sq,2017-06-30,Density,Persons,NA
E05010869,Fulwood,Population density per km sq,2017-06-30,Density,Persons,NA
E05010870,Gleadless Valley,Population density per km sq,2017-06-30,Density,Persons,NA
E05010871,Graves Park,Population density per km sq,2017-06-30,Density,Persons,NA
E05010872,Hillsborough,Population density per km sq,2017-06-30,Density,Persons,NA
E05010873,Manor Castle,Population density per km sq,2017-06-30,Density,Persons,NA
E05010874,Mosborough,Population density per km sq,2017-06-30,Density,Persons,NA
E05010875,Nether Edge and Sharrow,Population density per km sq,2017-06-30,Density,Persons,NA
E05010876,Park and Arbourthorne,Population density per km sq,2017-06-30,Density,Persons,NA
E05010877,Richmond,Population density per km sq,2017-06-30,Density,Persons,NA
E05010878,Shiregreen and Brightside,Population density per km sq,2017-06-30,Density,Persons,NA
E05010879,Southey,Population density per km sq,2017-06-30,Density,Persons,NA
E05010880,Stannington,Population density per km sq,2017-06-30,Density,Persons,NA
E05010881,Stocksbridge and Upper Don,Population density per km sq,2017-06-30,Density,Persons,NA
E05010882,Walkley,Population density per km sq,2017-06-30,Density,Persons,NA
E05010883,West Ecclesfield,Population density per km sq,2017-06-30,Density,Persons,NA
E05010884,Woodhouse,Population density per km sq,2017-06-30,Density,Persons,NA
