area_code,area_name,indicator,period,measure,unit,value
E05001039,Arbourthorne,Single ethnicity households,2011,Percentage,Households,56
E05001040,Beauchief and Greenhill,Single ethnicity households,2011,Percentage,Households,54.2
E05001041,Beighton,Single ethnicity households,2011,Percentage,Households,69.5
E05001042,Birley,Single ethnicity households,2011,Percentage,Households,63.8
E05001043,Broomhill,Single ethnicity households,2011,Percentage,Households,47.4
E05001044,Burngreave,Single ethnicity households,2011,Percentage,Households,50.7
E05001045,Central,Single ethnicity households,2011,Percentage,Households,39.4
E05001046,Crookes,Single ethnicity households,2011,Percentage,Households,60
E05001047,Darnall,Single ethnicity households,2011,Percentage,Households,58.3
E05001048,Dore and Totley,Single ethnicity households,2011,Percentage,Households,64.4
E05001049,East Ecclesfield,Single ethnicity households,2011,Percentage,Households,68.5
E05001050,Ecclesall,Single ethnicity households,2011,Percentage,Households,66.2
E05001051,Firth Park,Single ethnicity households,2011,Percentage,Households,55.4
E05001052,Fulwood,Single ethnicity households,2011,Percentage,Households,59.4
E05001053,Gleadless Valley,Single ethnicity households,2011,Percentage,Households,51.3
E05001054,Graves Park,Single ethnicity households,2011,Percentage,Households,62.4
E05001055,Hillsborough,Single ethnicity households,2011,Percentage,Households,64.3
E05001056,Manor Castle,Single ethnicity households,2011,Percentage,Households,48.4
E05001057,Mosborough,Single ethnicity households,2011,Percentage,Households,65.5
E05001058,Nether Edge,Single ethnicity households,2011,Percentage,Households,54.6
E05001059,Richmond,Single ethnicity households,2011,Percentage,Households,62.7
E05001060,Shiregreen and Brightside,Single ethnicity households,2011,Percentage,Households,61.8
E05001061,Southey,Single ethnicity households,2011,Percentage,Households,61.8
E05001062,Stannington,Single ethnicity households,2011,Percentage,Households,65.2
E05001063,Stocksbridge and Upper Don,Single ethnicity households,2011,Percentage,Households,67.5
E05001064,Walkley,Single ethnicity households,2011,Percentage,Households,47.2
E05001065,West Ecclesfield,Single ethnicity households,2011,Percentage,Households,69.8
E05001066,Woodhouse,Single ethnicity households,2011,Percentage,Households,60.2
