area_code,area_name,indicator,period,measure,unit,value
E05001039,Arbourthorne,Number of jobs,2017,Count,Employees,5038
E05001040,Beauchief and Greenhill,Number of jobs,2017,Count,Employees,1727
E05001041,Beighton,Number of jobs,2017,Count,Employees,7549
E05001042,Birley,Number of jobs,2017,Count,Employees,1623
E05001043,Broomhill,Number of jobs,2017,Count,Employees,15631
E05001044,Burngreave,Number of jobs,2017,Count,Employees,17404
E05001045,Central,Number of jobs,2017,Count,Employees,57084
E05001046,Crookes,Number of jobs,2017,Count,Employees,2438
E05001047,Darnall,Number of jobs,2017,Count,Employees,44451
E05001048,Dore and Totley,Number of jobs,2017,Count,Employees,3293
E05001049,East Ecclesfield,Number of jobs,2017,Count,Employees,6941
E05001050,Ecclesall,Number of jobs,2017,Count,Employees,5542
E05001051,Firth Park,Number of jobs,2017,Count,Employees,3046
E05001052,Fulwood,Number of jobs,2017,Count,Employees,4337
E05001053,Gleadless Valley,Number of jobs,2017,Count,Employees,3661
E05001054,Graves Park,Number of jobs,2017,Count,Employees,6925
E05001055,Hillsborough,Number of jobs,2017,Count,Employees,6166
E05001056,Manor Castle,Number of jobs,2017,Count,Employees,18378
E05001057,Mosborough,Number of jobs,2017,Count,Employees,3249
E05001058,Nether Edge,Number of jobs,2017,Count,Employees,4615
E05001059,Richmond,Number of jobs,2017,Count,Employees,1764
E05001060,Shiregreen and Brightside,Number of jobs,2017,Count,Employees,5109
E05001061,Southey,Number of jobs,2017,Count,Employees,2314
E05001062,Stannington,Number of jobs,2017,Count,Employees,2083
E05001063,Stocksbridge and Upper Don,Number of jobs,2017,Count,Employees,3799
E05001064,Walkley,Number of jobs,2017,Count,Employees,15705
E05001065,West Ecclesfield,Number of jobs,2017,Count,Employees,4754
E05001066,Woodhouse,Number of jobs,2017,Count,Employees,4522
